ID,Name,Sex,Age,Height,Weight,NOC,Games,Year,Season,City,Sport,Event,Medal
16061,"Annemarie ""Mirl"" Buchner (Fischer-)",F,27,NA,NA,GER,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
16061,"Annemarie ""Mirl"" Buchner (Fischer-)",F,27,NA,NA,GER,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
16062,Ralf Bchner,M,21,163,56,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Silver
16076,Craig Werner Buck,M,25,203,93,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
16076,Craig Werner Buck,M,30,203,93,USA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
16088,"Gregory Fenton ""Greg"" Buckingham",M,23,191,84,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Individual Medley,Silver
16109,William Quinn Buckner,M,21,190,92,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
16118,Florica Bucur (-Szilagh),F,21,175,76,ROU,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Bronze
16124,Lszl II Budai (Bednarik),M,23,NA,NA,HUN,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,Gold
16133,Tams Buday,M,24,190,85,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
16133,Tams Buday,M,24,190,85,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
16138,"Harold Boyce Budd, Jr.",M,25,191,93,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
16149,Richard Gordon McBride Budgett,M,25,200,100,GBR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
16152,Alexander Alan Budikusuma Wiratama,M,24,178,71,INA,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,Gold
16155,Hugo Budinger,M,29,180,76,GER,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Bronze
16158,Aleksandr Fyodorovich Budnikov,M,24,173,78,URS,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Three Person Keelboat,Silver
16159,Boris Fyodorovich Budnikov,M,38,172,74,URS,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Three Person Keelboat,Silver
16162,Aleksei Budlin,M,24,177,81,EST,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Middleweight,Bronze
16173,Rachel Marie Buehler (-Van Hollebeke),F,22,165,65,USA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Gold
16173,Rachel Marie Buehler (-Van Hollebeke),F,26,165,65,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
16188,Valeria Bufanu-tefnescu,F,25,170,60,ROU,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres Hurdles,Silver
16195,Pierre Andr Buffire,M,25,185,85,FRA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Silver
16199,Tonja Yvette Buford-Bailey,F,25,176,62,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,Bronze
16204,Ivans Bugajenkovs,M,26,182,82,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Gold
16204,Ivans Bugajenkovs,M,30,182,82,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Gold
16209,Imrich Bugr,M,25,196,120,TCH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Silver
16216,"Regina E. ""Gina"" Buggy",F,24,157,51,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
16240,"Anton ""Toni"" Bhler",M,38,177,75,SUI,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
16240,"Anton ""Toni"" Bhler",M,38,177,75,SUI,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
16275,gota Bujdos,F,33,174,73,HUN,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,Bronze
16277,Imre Bujdos,M,29,171,73,HUN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Gold
16277,Imre Bujdos,M,33,171,73,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
16291,Heinz Bker,M,23,179,84,GER,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
16294,Nikolay Petkov Bukhalov,M,21,187,93,BUL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
16294,Nikolay Petkov Bukhalov,M,25,187,93,BUL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
16294,Nikolay Petkov Bukhalov,M,25,187,93,BUL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
16297,Gennady Ivanovich Bukharin,M,27,NA,NA,URS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
16297,Gennady Ivanovich Bukharin,M,27,NA,NA,URS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Bronze
16298,Galina Petrovna Bukharina,F,23,156,51,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
16299,Luka Buki,M,22,195,90,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
16300,Perica Buki,M,18,198,85,YUG,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
16300,Perica Buki,M,22,198,85,YUG,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Gold
16300,Perica Buki,M,30,198,85,CRO,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Silver
16301,Andrey Anatolyevich Bukin,M,26,185,63,URS,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
16301,Andrey Anatolyevich Bukin,M,30,185,63,URS,1988 Winter,1988,Winter,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
16302,Yekaterina Borisovna Bukina,F,29,174,75,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze
16305,Brigita Bukovec,F,26,168,55,SLO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,Silver
16321,Anatoly Nikolayevich Bulakov,M,22,NA,NA,URS,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Flyweight,Bronze
16325,Valeriu Bularc,M,33,174,73,ROU,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
16330,Anela Bulatovi,F,25,175,67,MNE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Silver
16332,Katarina Bulatovi,F,27,186,71,MNE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Silver
16336,Igor Vasilyevich Buldakov,M,26,NA,NA,URS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,Silver
16337,Lyudmila Stepanovna Buldakova (Meshcheryakova-),F,26,171,66,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
16337,Lyudmila Stepanovna Buldakova (Meshcheryakova-),F,30,171,66,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
16337,Lyudmila Stepanovna Buldakova (Meshcheryakova-),F,34,171,66,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,Gold
16343,Adelmo Bulgarelli,M,24,184,101,ITA,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
16344,Emilio Bulgarelli,M,31,NA,NA,ITA,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
16351,Alexandru Buligan,M,24,200,89,ROU,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Bronze
16353,Diana Laura Bulimar,F,16,140,NA,ROU,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze
16357,Jan Bulis,M,27,186,92,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
16359,Ivan Buljubai,M,24,198,108,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
16360,Erich Buljung,M,44,183,85,USA,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
16375,Jane Mary Elizabeth Bullen (-Holderness-Roddam),F,20,NA,NA,GBR,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
16381,Massimo Bulleri,M,26,188,82,ITA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Silver
16382,"Victoria Andrea ""Vicky"" Bullett",F,20,190,62,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
16382,"Victoria Andrea ""Vicky"" Bullett",F,24,190,62,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Bronze
16383,Chlo Bulleux,F,24,172,65,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
16385,Katharina Bullin,F,21,177,70,GDR,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Silver
16389,Maik Bullmann,M,25,185,82,GER,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
16389,Maik Bullmann,M,29,185,82,GER,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
16390,Nicole Bullo,F,26,160,56,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
16402,Gamze Bulut,F,19,166,48,TUR,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",Silver
16405,Sergey Ivanovich Bulygin,M,20,180,76,URS,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
16410,"Jaap Derk ""Jaap-Derk"" Buma",M,28,184,86,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Gold
16417,Elen Rafaelovna Bunatyants-Shakirova,F,22,190,86,EUN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Gold
16419,Ahmed Naseer Bunda,M,24,165,57,PAK,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver
16419,Ahmed Naseer Bunda,M,28,165,57,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
16424,Darren Bundock,M,29,180,70,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Multihull,Silver
16424,Darren Bundock,M,37,180,70,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Silver
16430,Wilfred Kipkemboi Bungei,M,28,172,60,KEN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,Gold
16434,Carsten Bunk,M,20,189,76,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Gold
16437,Elliot John Bunney,M,21,183,85,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
16445,Denis Bunti,M,29,NA,NA,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
16449,Diego Mario Buonanotte Rende,M,20,160,49,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
16454,Pasquale Buonocore,M,32,NA,NA,ITA,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
16458,Hans Petter Buraas,M,22,190,90,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
16462,Viktor Volodymyrovych Burakov,M,25,182,73,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
16476,Ivan Burchin,M,19,174,80,BUL,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
16477,Robert Brchler-Messer,M,37,NA,NA,SUI,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
16479,Caroline Stillwell Burckle,F,22,174,62,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
16483,Lyubov Viktorovna Burda (-Andrianova),F,15,162,48,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Gold
16483,Lyubov Viktorovna Burda (-Andrianova),F,19,162,48,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Gold
16488,Nataliya Andrivna Burdeina,F,26,165,63,UKR,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Team,Silver
16491,"William Douglas ""Doug"" Burden",M,23,195,89,USA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Bronze
16491,"William Douglas ""Doug"" Burden",M,26,195,89,USA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Silver
16492,Cdric Burdet,M,33,195,98,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
16497,Nicols Andrs Burdisso,M,23,182,82,ARG,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Gold
16499,Pavel Vladimirovich Bure,M,26,180,86,RUS,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
16499,Pavel Vladimirovich Bure,M,30,180,86,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
16500,Valery Vladimirovich Bure,M,23,176,84,RUS,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
16500,Valery Vladimirovich Bure,M,27,176,84,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
16501,Vladimir Valeryevich Bure,M,17,181,76,URS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
16501,Vladimir Valeryevich Bure,M,21,181,76,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Freestyle,Bronze
16501,Vladimir Valeryevich Bure,M,21,181,76,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
16501,Vladimir Valeryevich Bure,M,21,181,76,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
16509,Maurice Buret,M,39,NA,NA,FRA,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
16536,Nathan Burgers,M,33,185,82,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
16540,"Donald Christopher ""Don"" Burgess",M,19,NA,NA,GBR,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
16540,"Donald Christopher ""Don"" Burgess",M,23,NA,NA,GBR,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
16542,"Gregory Stewart ""Greg"" Burgess",M,20,193,93,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,Silver
16544,Phil Burgess,M,28,180,92,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
16547,Simon Peter Burgess,M,33,178,70,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
16547,Simon Peter Burgess,M,36,178,70,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
16556,Michelle Burgher,F,23,170,62,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
16556,Michelle Burgher,F,27,170,62,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
16580,Leonid Iosypovych Buriak,M,23,180,70,URS,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Bronze
16584,Damir Buri,M,31,205,115,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
16584,Damir Buri,M,35,205,115,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
16590,Dan Burinc,M,24,NA,NA,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings,Silver
16593,Petra Burka,F,17,153,60,CAN,1964 Winter,1964,Winter,Innsbruck,Figure Skating,Figure Skating Women's Singles,Bronze
16597,Claudia Ins Burkart,F,24,165,68,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
16597,Claudia Ins Burkart,F,28,165,68,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze
16603,"Daniel ""Dan"" Burke",M,26,193,93,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver
16606,"Douglas Lambert ""Doug"" Burke",M,27,183,82,USA,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
16611,Lynn Edythe Burke (-McConville),F,17,173,61,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Backstroke,Gold
16611,Lynn Edythe Burke (-McConville),F,17,173,61,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
16613,Sean Burke,M,25,192,95,CAN,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
16614,Steven James Burke,M,20,183,78,GBR,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
16614,Steven James Burke,M,24,183,78,GBR,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
16614,Steven James Burke,M,28,183,78,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
16617,Daniil Sergeyevich Burkenya,M,26,198,85,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,Bronze
16639,Tommy Loren Burleson,M,20,223,102,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
16645,Peter Burling,M,21,186,82,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,Silver
16645,Peter Burling,M,25,186,82,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Gold
16656,Hanna Viktorivna Burmistrova,F,27,182,73,UKR,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
16669,"Richard Desborough ""Dickie"" Burnell",M,31,NA,NA,GBR,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
16677,Howard McNeal Burnett,M,27,193,72,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
16678,Jason Nicholas Burnett,M,21,165,68,CAN,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Men's Individual,Silver
16685,Kevin Lobdell Burnham,M,35,185,70,USA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy,Silver
16685,Kevin Lobdell Burnham,M,47,185,70,USA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Two Person Dinghy,Gold
16696,Lauren Chantel Burns (-Muller),F,26,165,49,AUS,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Flyweight,Gold
16697,Lindsay H. Burns,F,31,174,58,USA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Lightweight Double Sculls,Silver
16698,Marc Burns,M,25,183,91,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
16698,Marc Burns,M,29,183,91,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
16704,Adrian Mark Burnside,M,27,193,100,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
16709,Nikolay Aleksandrovich Burobin,M,27,181,82,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Gold
16711,Hannelore Burosch (-Khnert),F,28,175,73,GDR,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,Silver
16717,Leslie Michele Burr-Howard (-Leneghan-),F,27,167,55,USA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
16717,Leslie Michele Burr-Howard (-Leneghan-),F,39,167,55,USA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
16721,Leroy Russell Burrell,M,25,183,82,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
16733,Jordan Ernest Burroughs,M,24,171,79,USA,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
16734,Sean Patrick Burroughs,M,20,188,91,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
16754,"Wellington Parker Burtnett, Jr.",M,25,182,84,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
16759,Christopher Burton,M,34,180,70,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
16769,"Michael Jay ""Mike"" Burton",M,21,175,70,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,Gold
16769,"Michael Jay ""Mike"" Burton",M,21,175,70,USA,1968 Summer,1968,Summer,Mexico City,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
16769,"Michael Jay ""Mike"" Burton",M,25,175,70,USA,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
16769,"Michael Jay ""Mike"" Burton",M,25,175,70,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
16773,Tom Burton,M,26,180,81,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold
16774,William Charles Burton,M,18,NA,NA,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
16778,Mikhail Ivanovich Burtsev,M,20,178,74,URS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Team",Gold
16778,Mikhail Ivanovich Burtsev,M,24,178,74,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Individual",Silver
16778,Mikhail Ivanovich Burtsev,M,24,178,74,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Team",Gold
16778,Mikhail Ivanovich Burtsev,M,32,178,74,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Silver
16788,Michel Georges Bury,M,32,179,74,FRA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
16789,Olga Valentinovna Buryakina,F,30,174,62,URS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Bronze
16792,Bianka Bua,F,22,187,74,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver
16793,Istvn Busa,M,27,170,72,HUN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Bronze
16807,Sabine Busch (-Ascui),F,25,177,66,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
16816,Antje Buschschulte (-Meeuw),F,17,186,75,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
16816,Antje Buschschulte (-Meeuw),F,21,186,75,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
16816,Antje Buschschulte (-Meeuw),F,25,186,75,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
16816,Antje Buschschulte (-Meeuw),F,25,186,75,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Bronze
16816,Antje Buschschulte (-Meeuw),F,25,186,75,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
16819,Frank Busemann,M,21,191,80,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,Silver
16822,Karl-Heinz Buert,M,21,194,84,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,Gold
16825,"Lesley Leigh Bush (-Hickcox, -Makepeace)",F,17,163,52,USA,1964 Summer,1964,Summer,Tokyo,Diving,Diving Women's Platform,Gold
16829,"Bertram Herbert Thomas ""Bert"" Bushnell",M,26,178,67,GBR,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
16831,Viktor Georgiyevich Bushuyev,M,27,162,67,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,Gold
16840,"Wilhelm ""Willi"" Bsing",M,31,NA,NA,GER,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
16840,"Wilhelm ""Willi"" Bsing",M,31,NA,NA,GER,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
16843,Andro Bulje,M,26,200,115,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
16843,Andro Bulje,M,30,200,115,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
16844,Yevhen Leonidovych Buslovych,M,28,168,58,UKR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
16845,"Gabriele ""Gaby"" Bumann",F,24,170,57,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
16875,Crystl Irene Bustos,F,23,173,102,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
